overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
87.0,97.5,80.3,76.0,,82.8,94.4,Cis woman,ANSUR (1988)
86.6,87.0,76.3,70.0,,72.2,90.7,Cis woman,ANSUR (1988)
93.0,93.4,79.4,83.0,,88.8,105.4,Cis woman,ANSUR (1988)
90.9,92.2,78.8,77.3,,91.6,95.7,Cis woman,ANSUR (1988)
90.9,93.4,75.6,78.8,,83.2,105.8,Cis woman,ANSUR (1988)
86.8,92.2,76.0,74.0,,83.3,99.0,Cis woman,ANSUR (1988)
87.1,86.2,76.2,72.9,,75.8,91.7,Cis woman,ANSUR (1988)
87.3,88.5,76.8,70.7,,82.5,101.6,Cis woman,ANSUR (1988)
87.1,90.5,74.7,70.1,,77.6,91.1,Cis woman,ANSUR (1988)
83.7,89.3,73.9,70.5,,77.2,93.4,Cis woman,ANSUR (1988)
94.1,96.2,80.5,78.4,,82.6,96.7,Cis woman,ANSUR (1988)
89.7,91.3,77.5,68.4,,74.7,91.9,Cis woman,ANSUR (1988)
82.2,82.6,70.4,63.5,,68.4,87.7,Cis woman,ANSUR (1988)
85.6,81.8,73.3,70.8,,73.6,92.8,Cis woman,ANSUR (1988)
87.7,87.3,79.8,66.4,,70.9,92.2,Cis woman,ANSUR (1988)
91.6,97.4,78.5,75.6,,85.5,92.3,Cis woman,ANSUR (1988)
87.6,87.3,74.9,67.6,,76.4,93.3,Cis woman,ANSUR (1988)
92.8,93.5,82.8,78.8,,83.1,96.7,Cis woman,ANSUR (1988)
79.9,82.4,72.9,68.5,,74.2,88.8,Cis woman,ANSUR (1988)
87.8,87.4,77.0,71.6,,75.5,95.3,Cis woman,ANSUR (1988)
87.4,92.1,74.5,72.0,,82.7,90.4,Cis woman,ANSUR (1988)
90.3,93.8,78.6,72.5,,86.0,102.8,Cis woman,ANSUR (1988)
90.0,95.8,81.1,76.8,,86.7,103.6,Cis woman,ANSUR (1988)
93.2,96.6,83.3,79.9,,89.5,106.4,Cis woman,ANSUR (1988)
91.4,95.7,84.5,72.1,,78.1,100.1,Cis woman,ANSUR (1988)
83.1,83.3,70.2,66.7,,74.1,96.5,Cis woman,ANSUR (1988)
89.7,94.4,78.2,72.7,,81.8,98.2,Cis woman,ANSUR (1988)
90.2,98.4,81.2,80.7,,104.5,103.7,Cis woman,ANSUR (1988)
85.3,92.7,74.2,69.0,,76.9,95.3,Cis woman,ANSUR (1988)
84.1,89.9,75.0,67.2,,76.4,92.6,Cis woman,ANSUR (1988)
90.2,97.9,80.5,76.3,,85.5,98.3,Cis woman,ANSUR (1988)
86.6,91.2,76.6,71.4,,82.0,99.8,Cis woman,ANSUR (1988)
87.9,88.2,77.8,70.7,,76.5,98.5,Cis woman,ANSUR (1988)
83.8,86.2,74.3,70.5,,79.4,89.5,Cis woman,ANSUR (1988)
97.5,104.0,83.2,87.7,,92.9,101.9,Cis woman,ANSUR (1988)
90.2,100.5,79.4,82.8,,91.2,102.4,Cis woman,ANSUR (1988)
84.9,82.6,75.2,71.3,,82.4,95.3,Cis woman,ANSUR (1988)
93.7,99.1,82.6,80.8,,94.2,99.7,Cis woman,ANSUR (1988)
91.1,97.1,79.5,74.6,,80.7,96.9,Cis woman,ANSUR (1988)
85.8,89.5,76.4,70.3,,77.7,94.4,Cis woman,ANSUR (1988)
85.1,98.0,75.4,73.8,,83.7,98.5,Cis woman,ANSUR (1988)
101.6,104.7,84.6,81.5,,89.3,108.1,Cis woman,ANSUR (1988)
87.0,86.2,69.1,69.2,,80.6,94.1,Cis woman,ANSUR (1988)
86.3,82.4,74.9,67.1,,75.3,95.7,Cis woman,ANSUR (1988)
80.3,82.7,69.3,64.8,,67.0,90.5,Cis woman,ANSUR (1988)
89.2,90.9,71.8,75.0,,81.6,103.0,Cis woman,ANSUR (1988)
86.5,87.8,73.9,69.2,,78.5,97.8,Cis woman,ANSUR (1988)
89.2,90.5,73.5,71.3,,75.3,94.0,Cis woman,ANSUR (1988)
80.9,82.6,67.8,63.3,,67.8,84.8,Cis woman,ANSUR (1988)
95.5,97.1,80.3,73.8,,80.6,99.4,Cis woman,ANSUR (1988)
85.2,83.8,70.5,66.6,,73.6,90.1,Cis woman,ANSUR (1988)
82.9,88.3,74.3,67.8,,70.9,91.6,Cis woman,ANSUR (1988)
83.4,80.0,70.8,65.7,,67.1,88.7,Cis woman,ANSUR (1988)
88.1,97.8,77.7,77.5,,82.1,95.4,Cis woman,ANSUR (1988)
87.6,88.2,80.0,73.7,,80.3,94.2,Cis woman,ANSUR (1988)
85.4,86.4,74.8,71.0,,74.0,93.4,Cis woman,ANSUR (1988)
96.5,99.7,87.0,81.1,,95.3,102.9,Cis woman,ANSUR (1988)
86.3,86.7,75.9,67.1,,74.7,87.7,Cis woman,ANSUR (1988)
89.7,87.8,74.9,68.6,,70.8,90.0,Cis woman,ANSUR (1988)
86.4,83.8,72.2,64.7,,67.5,92.4,Cis woman,ANSUR (1988)
83.5,84.6,75.3,65.4,,71.5,87.3,Cis woman,ANSUR (1988)
86.3,86.7,77.2,65.5,,69.2,89.9,Cis woman,ANSUR (1988)
91.5,93.7,79.7,73.3,,82.5,96.9,Cis woman,ANSUR (1988)
98.3,104.0,86.7,80.0,,91.4,102.1,Cis woman,ANSUR (1988)
84.6,91.9,76.3,70.8,,74.5,95.7,Cis woman,ANSUR (1988)
87.2,91.5,78.6,73.6,,78.3,96.3,Cis woman,ANSUR (1988)
81.1,82.1,67.5,65.5,,70.7,94.2,Cis woman,ANSUR (1988)
85.1,86.1,75.8,70.5,,73.3,90.3,Cis woman,ANSUR (1988)
85.2,90.9,73.0,68.8,,77.1,99.5,Cis woman,ANSUR (1988)
91.2,94.0,81.8,81.2,,89.2,108.2,Cis woman,ANSUR (1988)
86.3,87.3,75.5,67.0,,70.5,91.4,Cis woman,ANSUR (1988)
88.2,91.2,78.3,73.8,,78.4,95.3,Cis woman,ANSUR (1988)
92.3,90.2,75.9,74.9,,87.0,99.7,Cis woman,ANSUR (1988)
90.9,93.8,82.0,72.5,,78.4,95.3,Cis woman,ANSUR (1988)
88.8,89.9,75.5,73.2,,72.9,94.3,Cis woman,ANSUR (1988)
83.5,83.3,71.5,63.5,,63.2,89.3,Cis woman,ANSUR (1988)
100.1,99.2,88.3,84.4,,91.2,109.2,Cis woman,ANSUR (1988)
92.3,98.3,84.7,81.8,,93.1,107.1,Cis woman,ANSUR (1988)
95.2,96.7,80.7,75.5,,81.5,95.8,Cis woman,ANSUR (1988)
88.1,87.8,74.9,71.4,,79.2,92.9,Cis woman,ANSUR (1988)
91.6,94.7,77.9,75.2,,85.1,97.8,Cis woman,ANSUR (1988)
89.8,95.4,81.2,76.3,,79.4,100.5,Cis woman,ANSUR (1988)
91.8,94.5,77.2,74.0,,81.8,96.8,Cis woman,ANSUR (1988)
91.3,93.1,80.0,72.6,,78.3,95.6,Cis woman,ANSUR (1988)
91.4,89.4,73.7,71.0,,78.6,94.7,Cis woman,ANSUR (1988)
85.2,85.3,71.5,64.8,,67.6,92.0,Cis woman,ANSUR (1988)
96.7,96.3,85.8,82.6,,87.5,91.8,Cis woman,ANSUR (1988)
91.3,96.2,80.5,75.0,,92.1,101.1,Cis woman,ANSUR (1988)
85.7,87.3,74.0,67.4,,69.8,89.8,Cis woman,ANSUR (1988)
97.2,100.8,83.3,75.4,,84.0,106.7,Cis woman,ANSUR (1988)
86.5,88.4,76.4,63.9,,68.6,93.7,Cis woman,ANSUR (1988)
93.9,93.2,77.6,77.3,,91.2,107.3,Cis woman,ANSUR (1988)
81.3,81.7,68.6,60.9,,66.8,93.2,Cis woman,ANSUR (1988)
84.6,89.8,74.3,67.4,,70.0,88.8,Cis woman,ANSUR (1988)
102.3,98.1,84.4,82.4,,89.8,102.2,Cis woman,ANSUR (1988)
87.6,93.1,75.5,69.9,,74.9,93.5,Cis woman,ANSUR (1988)
93.2,95.8,79.9,79.9,,86.7,104.4,Cis woman,ANSUR (1988)
89.5,92.1,78.5,74.3,,85.2,98.4,Cis woman,ANSUR (1988)
88.3,90.9,76.8,72.6,,86.6,102.5,Cis woman,ANSUR (1988)
100.2,108.0,88.6,90.2,,96.7,117.0,Cis woman,ANSUR (1988)
90.1,87.0,76.5,73.7,,76.6,102.3,Cis woman,ANSUR (1988)
85.0,90.4,78.0,77.0,,84.9,104.8,Cis woman,ANSUR (1988)
